_step,total_comm_count,episode_reward_dyna,run_id,run_name
13821,62464,-26.990997314453125,076aeh46,no routing aorpo rest_seed = 30 k = 6
13939,62464,-28.08624267578125,076aeh46,no routing aorpo rest_seed = 30 k = 6
13991,63488,-28.08624267578125,076aeh46,no routing aorpo rest_seed = 30 k = 6
14109,63488,-26.683510780334473,076aeh46,no routing aorpo rest_seed = 30 k = 6
14161,64512,-26.683510780334473,076aeh46,no routing aorpo rest_seed = 30 k = 6
14279,64512,-27.920923233032227,076aeh46,no routing aorpo rest_seed = 30 k = 6
14331,65536,-27.920923233032227,076aeh46,no routing aorpo rest_seed = 30 k = 6
14449,65536,-27.176591873168945,076aeh46,no routing aorpo rest_seed = 30 k = 6
14501,66560,-27.176591873168945,076aeh46,no routing aorpo rest_seed = 30 k = 6
14619,66560,-27.746965408325195,076aeh46,no routing aorpo rest_seed = 30 k = 6
14671,67584,-27.746965408325195,076aeh46,no routing aorpo rest_seed = 30 k = 6
14789,67584,-26.99975299835205,076aeh46,no routing aorpo rest_seed = 30 k = 6
14841,68608,-26.99975299835205,076aeh46,no routing aorpo rest_seed = 30 k = 6
14959,68608,-27.929722785949707,076aeh46,no routing aorpo rest_seed = 30 k = 6
15011,69632,-27.929722785949707,076aeh46,no routing aorpo rest_seed = 30 k = 6
15129,69632,-27.63189125061035,076aeh46,no routing aorpo rest_seed = 30 k = 6
15181,70656,-27.63189125061035,076aeh46,no routing aorpo rest_seed = 30 k = 6
15299,70656,-28.604832649230957,076aeh46,no routing aorpo rest_seed = 30 k = 6
15351,71680,-28.604832649230957,076aeh46,no routing aorpo rest_seed = 30 k = 6
15469,71680,-27.689172744750977,076aeh46,no routing aorpo rest_seed = 30 k = 6
15521,72704,-27.689172744750977,076aeh46,no routing aorpo rest_seed = 30 k = 6
15639,72704,-27.28309440612793,076aeh46,no routing aorpo rest_seed = 30 k = 6
15691,73728,-27.28309440612793,076aeh46,no routing aorpo rest_seed = 30 k = 6
15809,73728,-26.965404510498047,076aeh46,no routing aorpo rest_seed = 30 k = 6
15861,74752,-26.965404510498047,076aeh46,no routing aorpo rest_seed = 30 k = 6
15979,74752,-27.037720680236816,076aeh46,no routing aorpo rest_seed = 30 k = 6
16031,75776,-27.037720680236816,076aeh46,no routing aorpo rest_seed = 30 k = 6
16149,75776,-27.138705253601074,076aeh46,no routing aorpo rest_seed = 30 k = 6
16201,76800,-27.138705253601074,076aeh46,no routing aorpo rest_seed = 30 k = 6
16319,76800,-27.673078536987305,076aeh46,no routing aorpo rest_seed = 30 k = 6
16371,77824,-27.673078536987305,076aeh46,no routing aorpo rest_seed = 30 k = 6
16489,77824,-27.693696975708008,076aeh46,no routing aorpo rest_seed = 30 k = 6
16541,78848,-27.693696975708008,076aeh46,no routing aorpo rest_seed = 30 k = 6
16659,78848,-27.10764980316162,076aeh46,no routing aorpo rest_seed = 30 k = 6
16711,79872,-27.10764980316162,076aeh46,no routing aorpo rest_seed = 30 k = 6
16829,79872,-27.5920352935791,076aeh46,no routing aorpo rest_seed = 30 k = 6
16881,80896,-27.5920352935791,076aeh46,no routing aorpo rest_seed = 30 k = 6
16999,80896,-28.184677124023438,076aeh46,no routing aorpo rest_seed = 30 k = 6
17051,81920,-28.184677124023438,076aeh46,no routing aorpo rest_seed = 30 k = 6
17169,81920,-26.88755226135254,076aeh46,no routing aorpo rest_seed = 30 k = 6
17221,82944,-26.88755226135254,076aeh46,no routing aorpo rest_seed = 30 k = 6
17339,82944,-26.538307189941406,076aeh46,no routing aorpo rest_seed = 30 k = 6
17391,83968,-26.538307189941406,076aeh46,no routing aorpo rest_seed = 30 k = 6
17509,83968,-26.720243453979492,076aeh46,no routing aorpo rest_seed = 30 k = 6
17561,84992,-26.720243453979492,076aeh46,no routing aorpo rest_seed = 30 k = 6
17679,84992,-27.73591423034668,076aeh46,no routing aorpo rest_seed = 30 k = 6
17731,86016,-27.73591423034668,076aeh46,no routing aorpo rest_seed = 30 k = 6
17849,86016,-27.23741912841797,076aeh46,no routing aorpo rest_seed = 30 k = 6
17901,88064,-27.23741912841797,076aeh46,no routing aorpo rest_seed = 30 k = 6
18019,88064,-26.71038055419922,076aeh46,no routing aorpo rest_seed = 30 k = 6
18071,89088,-26.71038055419922,076aeh46,no routing aorpo rest_seed = 30 k = 6
18189,89088,-27.117350578308105,076aeh46,no routing aorpo rest_seed = 30 k = 6
18241,91136,-27.117350578308105,076aeh46,no routing aorpo rest_seed = 30 k = 6
18359,91136,-27.107399940490723,076aeh46,no routing aorpo rest_seed = 30 k = 6
18411,93184,-27.107399940490723,076aeh46,no routing aorpo rest_seed = 30 k = 6
18529,93184,-26.573965072631836,076aeh46,no routing aorpo rest_seed = 30 k = 6
18581,95232,-26.573965072631836,076aeh46,no routing aorpo rest_seed = 30 k = 6
18699,95232,-27.995471000671387,076aeh46,no routing aorpo rest_seed = 30 k = 6
18751,96256,-27.995471000671387,076aeh46,no routing aorpo rest_seed = 30 k = 6
18869,96256,-28.103057861328125,076aeh46,no routing aorpo rest_seed = 30 k = 6
18921,98304,-28.103057861328125,076aeh46,no routing aorpo rest_seed = 30 k = 6
19039,98304,-28.1439151763916,076aeh46,no routing aorpo rest_seed = 30 k = 6
19091,100352,-28.1439151763916,076aeh46,no routing aorpo rest_seed = 30 k = 6
19209,100352,-27.902639389038086,076aeh46,no routing aorpo rest_seed = 30 k = 6
19261,102400,-27.902639389038086,076aeh46,no routing aorpo rest_seed = 30 k = 6
19379,102400,-27.118720054626465,076aeh46,no routing aorpo rest_seed = 30 k = 6
19431,104448,-27.118720054626465,076aeh46,no routing aorpo rest_seed = 30 k = 6
19549,104448,-27.57023048400879,076aeh46,no routing aorpo rest_seed = 30 k = 6
19601,106496,-27.57023048400879,076aeh46,no routing aorpo rest_seed = 30 k = 6
19719,106496,-26.67784309387207,076aeh46,no routing aorpo rest_seed = 30 k = 6
19771,108544,-26.67784309387207,076aeh46,no routing aorpo rest_seed = 30 k = 6
19889,108544,-27.73631191253662,076aeh46,no routing aorpo rest_seed = 30 k = 6
19941,110592,-27.73631191253662,076aeh46,no routing aorpo rest_seed = 30 k = 6
20059,110592,-28.20357322692871,076aeh46,no routing aorpo rest_seed = 30 k = 6
20111,112640,-28.20357322692871,076aeh46,no routing aorpo rest_seed = 30 k = 6
20229,112640,-27.379809379577637,076aeh46,no routing aorpo rest_seed = 30 k = 6
20281,114688,-27.379809379577637,076aeh46,no routing aorpo rest_seed = 30 k = 6
20399,114688,-26.928314208984375,076aeh46,no routing aorpo rest_seed = 30 k = 6
20451,116736,-26.928314208984375,076aeh46,no routing aorpo rest_seed = 30 k = 6
20569,116736,-27.84181022644043,076aeh46,no routing aorpo rest_seed = 30 k = 6
20621,118784,-27.84181022644043,076aeh46,no routing aorpo rest_seed = 30 k = 6
20739,118784,-26.92305088043213,076aeh46,no routing aorpo rest_seed = 30 k = 6
20791,120832,-26.92305088043213,076aeh46,no routing aorpo rest_seed = 30 k = 6
20909,120832,-27.761595726013184,076aeh46,no routing aorpo rest_seed = 30 k = 6
20961,122880,-27.761595726013184,076aeh46,no routing aorpo rest_seed = 30 k = 6
21079,122880,-27.439205169677734,076aeh46,no routing aorpo rest_seed = 30 k = 6
21131,124928,-27.439205169677734,076aeh46,no routing aorpo rest_seed = 30 k = 6
21249,124928,-26.84622287750244,076aeh46,no routing aorpo rest_seed = 30 k = 6
21301,126976,-26.84622287750244,076aeh46,no routing aorpo rest_seed = 30 k = 6
21419,126976,-27.470617294311523,076aeh46,no routing aorpo rest_seed = 30 k = 6
21471,129024,-27.470617294311523,076aeh46,no routing aorpo rest_seed = 30 k = 6
21589,129024,-27.058581352233887,076aeh46,no routing aorpo rest_seed = 30 k = 6
21641,131072,-27.058581352233887,076aeh46,no routing aorpo rest_seed = 30 k = 6
21759,131072,-26.131741523742676,076aeh46,no routing aorpo rest_seed = 30 k = 6
21811,133120,-26.131741523742676,076aeh46,no routing aorpo rest_seed = 30 k = 6
21929,133120,-26.595130920410156,076aeh46,no routing aorpo rest_seed = 30 k = 6
21981,135168,-26.595130920410156,076aeh46,no routing aorpo rest_seed = 30 k = 6
22099,135168,-26.428433418273926,076aeh46,no routing aorpo rest_seed = 30 k = 6
