_step,total_comm_count,epi_reward_agent-0,run_id,run_name
12359,89088.0,-847.1276321411133,yc5j624o,env_reset=40 aorpo alpha50
12461,89088.0,-770.985673904419,yc5j624o,env_reset=40 aorpo alpha50
12540,92160.0,-770.985673904419,yc5j624o,env_reset=40 aorpo alpha50
12642,92160.0,-795.6494598388672,yc5j624o,env_reset=40 aorpo alpha50
12721,95232.0,-795.6494598388672,yc5j624o,env_reset=40 aorpo alpha50
12823,95232.0,-896.9608936309814,yc5j624o,env_reset=40 aorpo alpha50
12902,98304.0,-896.9608936309814,yc5j624o,env_reset=40 aorpo alpha50
13004,98304.0,-869.4707622528076,yc5j624o,env_reset=40 aorpo alpha50
13083,101376.0,-869.4707622528076,yc5j624o,env_reset=40 aorpo alpha50
13185,101376.0,-896.3921604156494,yc5j624o,env_reset=40 aorpo alpha50
13264,104448.0,-896.3921604156494,yc5j624o,env_reset=40 aorpo alpha50
13366,104448.0,-885.041187286377,yc5j624o,env_reset=40 aorpo alpha50
13445,107520.0,-885.041187286377,yc5j624o,env_reset=40 aorpo alpha50
13547,107520.0,-905.6673965454102,yc5j624o,env_reset=40 aorpo alpha50
13626,111616.0,-905.6673965454102,yc5j624o,env_reset=40 aorpo alpha50
13728,111616.0,-851.572114944458,yc5j624o,env_reset=40 aorpo alpha50
13807,115712.0,-851.572114944458,yc5j624o,env_reset=40 aorpo alpha50
13909,115712.0,-912.0228271484375,yc5j624o,env_reset=40 aorpo alpha50
13988,119808.0,-912.0228271484375,yc5j624o,env_reset=40 aorpo alpha50
14090,119808.0,-870.1420669555664,yc5j624o,env_reset=40 aorpo alpha50
14169,123904.0,-870.1420669555664,yc5j624o,env_reset=40 aorpo alpha50
14271,123904.0,-898.1884288787842,yc5j624o,env_reset=40 aorpo alpha50
14350,128000.0,-898.1884288787842,yc5j624o,env_reset=40 aorpo alpha50
14452,128000.0,-849.8465480804443,yc5j624o,env_reset=40 aorpo alpha50
14531,132096.0,-849.8465480804443,yc5j624o,env_reset=40 aorpo alpha50
14633,132096.0,-848.413179397583,yc5j624o,env_reset=40 aorpo alpha50
14712,136192.0,-848.413179397583,yc5j624o,env_reset=40 aorpo alpha50
14814,136192.0,-865.8602390289307,yc5j624o,env_reset=40 aorpo alpha50
14893,140288.0,-865.8602390289307,yc5j624o,env_reset=40 aorpo alpha50
14995,140288.0,-897.4573383331299,yc5j624o,env_reset=40 aorpo alpha50
15074,143360.0,-897.4573383331299,yc5j624o,env_reset=40 aorpo alpha50
15176,143360.0,-909.7947406768799,yc5j624o,env_reset=40 aorpo alpha50
15255,146432.0,-909.7947406768799,yc5j624o,env_reset=40 aorpo alpha50
15357,146432.0,-873.6950569152832,yc5j624o,env_reset=40 aorpo alpha50
15436,149504.0,-873.6950569152832,yc5j624o,env_reset=40 aorpo alpha50
15538,149504.0,-819.8058624267578,yc5j624o,env_reset=40 aorpo alpha50
15617,153600.0,-819.8058624267578,yc5j624o,env_reset=40 aorpo alpha50
15719,153600.0,-926.8884830474854,yc5j624o,env_reset=40 aorpo alpha50
15798,156672.0,-926.8884830474854,yc5j624o,env_reset=40 aorpo alpha50
15900,156672.0,-881.1152610778809,yc5j624o,env_reset=40 aorpo alpha50
15979,160768.0,-881.1152610778809,yc5j624o,env_reset=40 aorpo alpha50
16081,160768.0,-834.1928539276123,yc5j624o,env_reset=40 aorpo alpha50
16160,164864.0,-834.1928539276123,yc5j624o,env_reset=40 aorpo alpha50
16262,164864.0,-784.5272159576416,yc5j624o,env_reset=40 aorpo alpha50
16341,168960.0,-784.5272159576416,yc5j624o,env_reset=40 aorpo alpha50
16443,168960.0,-770.4417304992676,yc5j624o,env_reset=40 aorpo alpha50
16522,174080.0,-770.4417304992676,yc5j624o,env_reset=40 aorpo alpha50
16624,174080.0,-793.9337768554688,yc5j624o,env_reset=40 aorpo alpha50
16703,178176.0,-793.9337768554688,yc5j624o,env_reset=40 aorpo alpha50
16805,178176.0,-908.5321826934814,yc5j624o,env_reset=40 aorpo alpha50
16884,182272.0,-908.5321826934814,yc5j624o,env_reset=40 aorpo alpha50
16986,182272.0,-800.6296310424805,yc5j624o,env_reset=40 aorpo alpha50
17065,186368.0,-800.6296310424805,yc5j624o,env_reset=40 aorpo alpha50
17167,186368.0,-931.08620262146,yc5j624o,env_reset=40 aorpo alpha50
17246,190464.0,-931.08620262146,yc5j624o,env_reset=40 aorpo alpha50
17348,190464.0,-816.7761707305908,yc5j624o,env_reset=40 aorpo alpha50
